MSFT_-ve,MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_volume,MSFT_open_diff1,MSFT_+ve__S__0,MSFT_+ve__S__1,MSFT_+ve__S__2
1,-0.7035776239985727,-0.7082410826024305,-0.6984466899787769,-0.7051990508790065,1.203053924709818,0.02077672626659803,0,0,1
0,-0.7053470229825651,-0.7056017870119625,-0.6990415598826559,-0.7001858070796718,1.254632928725534,-0.25187501897241393,0,0,1
1,-0.7003337258612532,-0.7073622938375689,-0.6990415598826559,-0.703724567408614,0.49544894085803565,0.1037576922089104,0,1,0
1,-0.7041674236599036,-0.707655223425856,-0.6996483271846126,-0.7063786376553205,1.1709975186973354,-0.02664096855757686,1,0,0
1,-0.7047572233212344,-0.7064835050727071,-0.699636429786535,-0.7028398773263784,0.29295742008290976,-0.03849539226362269,0,0,1
1,-0.7050521231518997,-0.7044329979546965,-0.6987441249307164,-0.7034296707145354,0.6712123411218175,-0.18074847673614738,1,0,0
0,-0.7018082250145803,-0.7094128009555795,-0.6993389948345954,-0.7060837409612419,0.1525414256999609,0.056339997384731305,0,0,1
0,-0.7044623234905689,-0.7097057305438665,-0.699636429786535,-0.7060837409612419,0.5151382561798278,-0.0029321211454894146,0,0,1
0,-0.7056419228132305,-0.6953521807177926,-0.6987441249307164,-0.6972368401388869,1.0936206768078331,-0.32300156120867207,0,1,0
1,-0.6988592267079263,-0.7003261251269096,-0.6933902957958052,-0.6993011169974364,0.1754883974263917,-0.03849539226362269,0,1,0
1,-0.6991541265385917,-0.7017966316601115,-0.6951749055074423,-0.701955187244143,0.5129242501893672,-0.09776751079383919,1,0,0
1,-0.69797452721593,-0.7044329979546965,-0.6960672103632608,-0.6984164269152009,0.38425515807207017,-0.07405866338175175,0,1,0
0,-0.6973847275545992,-0.7044271393629308,-0.7017184744501116,-0.7084429145138701,0.4337702016840285,0.38826386115396394,0,0,1
0,-0.7082960212892192,-0.714099674368175,-0.7046928239695066,-0.7078531211257131,0.5982401707886384,-0.07405866338175596,0,1,0
0,-0.7077062216278883,-0.71146330807359,-0.7067778429826026,-0.7137510550072832,0.7955967981521539,0.28157404779956835,0,0,1
1,-0.7159634168865197,-0.7193724069573451,-0.716590222047087,-0.7220081624414814,0.9080309577881966,0.1630298107391269,1,0,0
1,-0.7212716138384969,-0.7278673650176746,-0.7174825269029055,-0.724662232688188,0.432279748856113,0.08004884479681876,0,0,1
0,-0.7245155119758163,-0.7211299844870683,-0.7249184007013932,-0.7314448566519937,2.9440695450336976,0.1630298107391269,0,1,0
1,-0.7298237089277936,-0.7372411118428658,-0.728785055076607,-0.7346887202868572,0.7948232297940411,0.13932096332703947,0,0,1
0,-0.7345421062184401,-0.7398774781374509,-0.734439293512977,-0.7408815508625058,1.817370565788848,0.18673865815121857,0,0,1
0,-0.7404401028317482,-0.7363623230780041,-0.7344363191634575,-0.7352785136750142,1.0564727238865652,-0.37041925603285536,0,1,0
1,-0.7324778074037822,-0.7340188863717063,-0.7273038290159481,-0.7323295467342291,1.0407212716291316,0.09190326850286458,0,1,0
0,-0.7360166053717672,-0.7407562669023126,-0.7386004084906107,-0.7429458277210553,0.8877014479631388,0.08004884479681876,0,0,1
1,-0.7392605035090866,-0.7422209148437485,-0.7332465793556996,-0.7358683070631712,0.39935307844075346,-0.31114713750263046,0,1,0
1,-0.7327727072344477,-0.7386969718966533,-0.7296803342819448,-0.7355734103690926,0.49260140905705163,-0.03849539226361848,0,1,0
0,-0.7330676070651132,-0.737534041431153,-0.7302722298363045,-0.7370478938394852,0.5672007404193644,0.1037576922089062,0,1,0
1,-0.7369013048637634,-0.7401704077257379,-0.7350311890673366,-0.7338040302046216,0.4864028591530361,-0.4771090693872468,1,0,0
1,-0.7262849109598088,-0.7202511957222066,-0.7198887756640961,-0.7208285756651673,1.0140231602351282,-0.2755838663845014,1,0,0
0,-0.7206818141771661,-0.7146855335447495,-0.7145081773835105,-0.7081480178197915,0.9950607324222522,-0.5363811879174675,1,0,0
0,-0.7085909211198845,-0.7111703784853027,-0.7061799987292041,-0.7128663649250476,0.011588601551252764,-0.0029321211454894146,0,1,0
0,-0.7097705204425462,-0.7152713927213239,-0.7076671734889017,-0.7119816748428122,0.006103601770668826,0.08004884479681876,1,0,0
1,-0.7130144185798656,-0.7082410826024305,-0.7094517832005387,-0.7016602905500644,0.663836766948777,-0.41783695085702605,0,0,1
0,-0.7038725238292382,-0.7053117867195583,-0.7038005191136881,-0.7099173979842627,0.4441533562838695,0.2104475055633018,0,0,1
0,-0.710360320103877,-0.7143926039564622,-0.7085594783447203,-0.7158153318658327,0.6383823667512221,0.4593904033902305,0,0,1
1,-0.7230410128224894,-0.7214229140753556,-0.7210517463261796,-0.727021406240816,1.7552950393966709,0.1037576922089062,1,0,0
1,-0.7268747106211396,-0.7231804916050789,-0.7213491812781192,-0.7214183690533243,0.9388736617215714,-0.3585648323268095,0,1,0
1,-0.7192073150238391,-0.7243522099582278,-0.7198620065184216,-0.7220081624414814,0.611767614016498,0.008922302560556414,0,0,1
0,-0.7206818141771661,-0.7272815058411002,-0.7243235307975142,-0.7311499599579151,1.4776073392587918,0.1630298107391269,1,0,0
1,-0.7259900111291434,-0.7070693642492816,-0.7192671366145427,-0.7040194641026926,1.5322506075896185,-0.7260519672141712,0,0,1
1,-0.7091807207812154,-0.7111703784853027,-0.7100466531044177,-0.7116867781487336,1.0829541027664422,-0.07405866338175175,0,1,0
0,-0.7085909211198845,-0.710291589720441,-0.7076671734889017,-0.7113918814546552,0.9285872031664946,0.09190326850286458,1,0,0
1,-0.7121297190878695,-0.7111703784853027,-0.7112363929121759,-0.7181745054184607,0.4286486456579027,0.3171373189176974,0,0,1
1,-0.7212716138384969,-0.714099674368175,-0.7145081773835105,-0.7113918814546552,0.004136337411675194,-0.26372944267845555,0,1,0
1,-0.7159634168865197,-0.7208370548987811,-0.720159441470361,-0.7273163029348945,1.2008432530657285,-0.12147635820592664,0,0,1
1,-0.7141940179025272,-0.7097057305438665,-0.7097492181524783,-0.7022500839382214,1.7015987254352583,-0.3467104086207637,0,0,1
0,-0.7068215221358922,-0.7067764346609944,-0.700826169594293,-0.7004807037737504,0.6755069792478917,-0.2755838663845014,1,0,0
1,-0.7012184253532495,-0.7067764346609944,-0.700231299690414,-0.7049041541849279,1.3089127533019025,0.09190326850286458,1,0,0
1,-0.7047572233212344,-0.708826941779005,-0.7011236045462326,-0.704314360796771,0.3919041486475471,-0.20445732414823484,1,0,0
1,-0.7009235255225841,-0.7044329979546965,-0.6978518200748979,-0.7046092574908495,0.5572977316969727,0.06819442109077292,0,1,0
1,-0.7038725238292382,-0.708826941779005,-0.702015909402051,-0.7078531211257131,0.475599576910427,0.17488423444517273,0,0,1
0,-0.7094756206118809,-0.7161501814861856,-0.7088569132966598,-0.7140459517013618,0.48769325119868107,0.12746653962099364,1,0,0
1,-0.7138991180718618,-0.7193724069573451,-0.7142107424315709,-0.7137510550072832,0.39527183848243447,0.008922302560556414,1,0,0
1,-0.7153736172251889,-0.7152713927213239,-0.7085594783447203,-0.7110969847605766,0.8980045782500715,-0.2755838663845014,0,0,1
0,-0.7097705204425462,-0.7073622938375689,-0.7038005191136881,-0.7022500839382214,0.986818228192706,-0.38227367973889276,0,1,0
1,-0.701513325183915,-0.7038471387781221,-0.6960672103632608,-0.6975317368329653,-0.25426216896895276,-0.2755838663845014,0,0,1
0,-0.6959102284012723,-0.6938875327763564,-0.6910108161802891,-0.6904542161750812,0.7860272240668797,-0.3467104086207637,0,1,0
1,-0.6885377326346371,-0.6877360114223247,-0.6826826375259829,-0.6839664889053539,0.1504474561788626,-0.20445732414823484,1,0,0
1,-0.6847040348359869,-0.6915440960700586,-0.6817903326701643,-0.6892746293987672,0.5613622999234358,0.1037576922089062,0,1,0
1,-0.6885377326346371,-0.6871501522457503,-0.6814928977182249,-0.6860307657639035,0.9273601637019019,-0.10962193449988503,1,0,0
0,-0.68706323348131,-0.6927158144232076,-0.6820877676221039,-0.6889797327046886,0.45610365367816297,0.09190326850286458,0,0,1
0,-0.690602031449295,-0.695938039894367,-0.688631336564773,-0.6901593194810026,-0.395445063017272,-0.13333078191197248,0,0,1
1,-0.6885377326346371,-0.6892006593637608,-0.6817903326701643,-0.6845562822935111,0.09904517252081882,-0.1451852056180141,0,1,0
1,-0.6861785339893139,-0.6865642930691758,-0.6794108530546483,-0.6795430384941764,0.24571640069609318,-0.21631174785428064,0,1,0
0,-0.6820499363599982,-0.6883218705988992,-0.6811954627662854,-0.6875052492342961,-0.04926988841544515,0.23415635297538923,0,1,0
0,-0.6891275322959679,-0.6892006593637608,-0.6853595520934385,-0.6872103525402177,0.23381278415099613,-0.03849539226361848,0,0,1
0,-0.6894224321266333,-0.693301673599782,-0.68446724723762,-0.6878001459283746,-0.6800815409926811,-0.02664096855757686,1,0,0
1,-0.6900122317879641,-0.6947604629494524,-0.6933902957958052,-0.6984164269152009,1.0686831002978106,0.32899174262374326,0,1,0
0,-0.6994490263692571,-0.7038471387781221,-0.6942826006516238,-0.7001858070796718,-0.22846433109516678,0.008922302560556414,1,0,0
0,-0.7009235255225841,-0.6941804623646437,-0.6942826006516238,-0.6960572533625727,0.23015834052818762,-0.3111471375026347,0,1,0
1,-0.6944357292479452,-0.7003319837186753,-0.6933902957958052,-0.6993011169974364,-0.07465760168557653,0.12746653962099785,0,0,1
0,-0.6988592267079263,-0.7005956203481338,-0.6930958351933851,-0.6960572533625727,0.1720240115467402,-0.15703962932405993,0,0,1
0,-0.6962051282319377,-0.7032612796015477,-0.6933902957958052,-0.6984164269152009,-0.2717141378756861,0.1037576922089062,0,0,1
0,-0.7000388260305879,-0.7041400683664094,-0.6957697754113212,-0.701955187244143,0.049860229199606844,0.008922302560556414,0,1,0
0,-0.701513325183915,-0.7056047163078454,-0.6963646453152004,-0.7004807037737504,-0.11221567921049902,-0.15703962932405993,0,0,1
1,-0.6988592267079263,-0.7064835050727071,-0.700231299690414,-0.7034296707145354,0.10523371938572082,0.1630298107391269,0,1,0
1,-0.7041674236599036,-0.7117562376618771,-0.7049902589214462,-0.7099173979842627,0.6105205684736784,-0.10962193449988503,1,0,0
1,-0.7026929245065765,-0.7099986601321538,-0.7058825637772645,-0.7099173979842627,1.440856173555694,0.29342847150560997,0,1,0
1,-0.7112450195958732,-0.710291589720441,-0.7055851288253252,-0.7078531211257131,0.09770143093323502,-0.16889405303010155,0,0,1
0,-0.7082960212892192,-0.712927956015026,-0.7023133443539905,-0.7066735343493991,1.1161808643552076,-0.08591308708779757,0,0,1
1,-0.707411321797223,-0.7108774488970154,-0.70261077930593,-0.7090327079020271,0.4295956000273166,-0.12147635820593085,1,0,0
0,-0.7056419228132305,-0.7003319837186753,-0.6990415598826559,-0.701955187244143,1.9189514279867141,-0.10962193449988081,0,1,0
0,-0.7041674236599036,-0.7067764346609944,-0.70261077930593,-0.7099173979842627,0.3455033845462668,0.12746653962099364,0,1,0
0,-0.7085909211198845,-0.7111703784853027,-0.70261077930593,-0.7096225012901841,0.46772385078171014,-0.07405866338175175,0,1,0
1,-0.7080011214585538,-0.7126350264267389,-0.702640522801124,-0.7090327079020271,0.18170028471589192,-0.20445732414823484,0,1,0
0,-0.7041674236599036,-0.7091198713672922,-0.7035030841617486,-0.7084429145138701,0.27512200134349124,0.13932096332703947,1,0,0
0,-0.70888582095055,-0.7143926039564622,-0.7088569132966598,-0.7158153318658327,1.1473303281547305,0.423827132272093,1,0,0
0,-0.7206818141771661,-0.712927956015026,-0.7148056123354499,-0.7116867781487336,0.4759696893576275,-0.41783695085702605,0,1,0
1,-0.7115399194265386,-0.7161501814861856,-0.7127265420213927,-0.7199438855829319,0.553696637616103,0.4119727085660514,0,0,1
0,-0.7230410128224894,-0.7269885762528129,-0.7183748317587241,-0.7214183690533243,1.0828007228333683,-0.12147635820593085,1,0,0
1,-0.7212716138384969,-0.7149579580618566,-0.7145081773835105,-0.7084429145138701,0.28326114083553094,-0.6549254249779046,1,0,0
1,-0.7062317224745613,-0.7073622938375689,-0.700231299690414,-0.7025449806323,0.4640293950024475,-0.15703962932405993,1,0,0
1,-0.7035776239985727,-0.7003319837186753,-0.6975543851229584,-0.6931082864217878,0.5260282314280875,-0.3941281034449428,0,0,1
1,-0.6950255289092759,-0.6965238990709415,-0.6892291808181715,-0.6916338029513952,-0.09534722091872141,-0.3585648323268053,0,1,0
1,-0.6873581333119755,-0.6862713634808886,-0.6800057229585273,-0.6824920054349615,0.7301569162714606,-0.3467104086207637,1,0,0
1,-0.6799856375453405,-0.6862713634808886,-0.6811954627662854,-0.6878001459283746,0.29555821025242673,0.34084616632978487,0,1,0
